0,1,2
0.4370499904569518,12410.00000001,9.609297734995781
0.5107758832199043,12210.00000001,12.188289938392414
0.5937260495771252,12075.00000001,15.459445187269242
0.6858077983858601,11990.00000001,19.608529720429726
0.786582227119746,11935.00000001,24.871166664739327
0.8952363385964028,11895.00000001,31.546216880338577
1.0104724647152563,11860.00000001,40.01275102515537
1.130495854529778,11825.00000001,50.75157666841884
1.2530497370916314,11775.00000001,64.37254296039484
1.3755043009543328,11715.00000001,81.64917346826893
1.4949974831087123,11635.00000001,103.56259394868208
1.6084749398440346,11530.00000001,131.35724967929661
1.7119435094284154,11405.00000001,166.61157649121117
1.8029807129844415,11255.00000001,211.3276388525201
1.880103428852337,11080.00000001,268.0448254766797
1.9424186027933772,10880.00000001,339.9840591365544
1.989626578941438,10670.00000001,431.23071024187544
2.0219882033195766,10440.00000001,546.9666016929982
2.040252918943065,10200.00000001,693.7642803773932
2.045560063517364,9955.00000001,879.9602667471667
