0,1,2
5.00000001,-51458908.95959461,0.05465842057364664
5.00000001,-828124.6167755015,7.064378672254957e-05
5.00000001,-1080.6193688167848,2.795400066996178e-06
11420.00000001,-1.1764040655822606e-11,1.5382057669510765
11360.00000001,-2.8704021172023643e-11,1.527618162251903
11290.00000001,-5.411208786620581e-11,1.5146700982810464
11210.00000001,-4.626479493670135e-11,1.4977855509850166
11110.00000001,-5.417692715599598e-11,1.4764629195731775
10990.00000001,-5.336461014674794e-11,1.4523393534378697
10850.00000001,-5.495007131023807e-11,1.4284027364588656
10695.00000001,-4.581454480584551e-11,1.407718236403255
10535.00000001,-3.585566892696928e-11,1.392572049805561
10380.00000001,-6.000519066085246e-11,1.3841750223488438
10230.00000001,-5.3232501462487327e-11,1.3827602463910218
10095.00000001,-2.6609981423853376e-11,1.3878608503195802
9980.00000001,-9.214752150998667e-11,1.398615088465154
9880.00000001,-1.0401817071720032e-10,1.4140098818876266
9795.00000001,-7.777715806524159e-12,1.433041716888474
9730.00000001,-1.1427339266962654e-10,1.454803677235096
9680.00000001,-9.670694027202032e-11,1.478522652183068
9640.00000001,-1.1849785771286777e-10,1.5035633597367466
9610.00000001,-1.7912077719335065e-10,1.5294180556132009
9590.00000001,-1.9357048748298297e-10,1.5556888074836648
9575.00000001,-1.2241346459698646e-10,1.5820688697772223
9570.00000001,-2.379201605906982e-10,1.6083252744776784
9570.00000001,-2.7874426544364114e-10,1.6342838316066421
9575.00000001,-2.4560567382660585e-10,1.6598165642081952
9580.00000001,-2.9030561920364503e-10,1.6848314178627575
9590.00000001,-2.869002625223283e-10,1.7092642537983063
9605.00000001,-3.028007328881438e-10,1.7330726190337749
9620.00000001,-2.379782727395732e-10,1.756230459200084
9635.00000001,-4.106405705663839e-10,1.778724290410996
9650.00000001,-2.328971273962643e-10,1.8005503414467938
9670.00000001,-4.756362530979337e-10,1.8217117684780937
9690.00000001,-4.636453237023109e-10,1.8422172838864004
9710.00000001,-4.1856757381163447e-10,1.862079376241901
9730.00000001,-4.254844390974012e-10,1.8813133879676096
9750.00000001,-5.130849687094819e-10,1.899936517385969
9770.00000001,-5.925597792774841e-10,1.9179674116518701
9790.00000001,-6.24642995344656e-10,1.935425289055473
9810.00000001,-6.024600158280539e-10,1.9523298953874981
9830.00000001,-6.017932298000696e-10,1.9687010354085046
9850.00000001,-6.244655776088663e-10,1.9845583743042317
9870.00000001,-6.520056354665772e-10,1.9999212035713547
9890.00000001,-6.944792948804179e-10,2.014808591653141
9910.00000001,-7.458508511144974e-10,2.029238895118346
9930.00000001,-7.617971946904277e-10,2.043229997869172
9950.00000001,-8.069669084461485e-10,2.0567991813822917
9970.00000001,-3.446681486740067e-10,2.069963090162215
9985.00000001,-7.11268038561093e-10,2.0827377259712616
10005.00000001,-8.885376537514142e-10,2.095138430893343
10025.00000001,-2.5891036939424127e-11,2.1071799446488435
10040.00000001,-9.996367261307686e-10,2.1188763813181413
10060.00000001,-1.866004570145426e-10,2.1302412227280447
10075.00000001,-1.0303964191837273e-09,2.1412873799996226
10090.00000001,-8.780574899773302e-10,2.152027152014095
10110.00000001,-4.6263905382574226e-10,2.162472323445729
10125.00000001,-1.0117526052546635e-09,2.172634190852209
10140.00000001,-1.1688717372422578e-09,2.182523448296719
10155.00000001,-1.2505350306371277e-09,2.192150370117911
10170.00000001,-1.2793516754070161e-09,2.201524725628799
10185.00000001,-1.3164711118821075e-09,2.210655918309323
10200.00000001,-1.3485587066812356e-09,2.219552850543747
10215.00000001,-1.2829407152930698e-09,2.2282240551693824
10230.00000001,-1.075695801588896e-09,2.236677652387573
10240.00000001,-3.690852020918642e-10,2.244921500897669
10255.00000001,-1.4129634143413852e-09,2.252962970581688
10270.00000001,-1.33450678587647e-09,2.2608091763640017
10280.00000001,-5.785266048632209e-10,2.2684669628145606
10295.00000001,-1.576840604845367e-09,2.275942789779321
10305.00000001,-6.643057259660515e-11,2.283242867392927
10320.00000001,-1.6203121530184176e-09,2.2903731907903744
10330.00000001,-8.790286714521111e-10,2.2973394365395494
10345.00000001,-1.3102130517758467e-09,2.3041470453153465
10355.00000001,-1.7437741514218297e-09,2.310801281730799
10365.00000001,-1.0418487759438756e-09,2.3173070928593016
10380.00000001,-9.119627758407994e-10,2.3236693158799038
10390.00000001,-1.5960716012236007e-09,2.329892565199189
10400.00000001,-1.8338195616552565e-09,2.3359811752318866
10410.00000001,-1.892020464372267e-09,2.34193951068368
10420.00000001,-1.8405030158852411e-09,2.347771509693738
10430.00000001,-1.789237922259422e-09,2.3534810731399047
10440.00000001,-1.7906911505231695e-09,2.359072013183025
10450.00000001,-1.859237938247432e-09,2.3645479458902203
10460.00000001,-1.9928743717598104e-09,2.3699122567151742
10470.00000001,-2.076822959510294e-09,2.3751682802090586
10480.00000001,-1.978628953994809e-09,2.3803192118407623
10490.00000001,-1.5975862113784782e-09,2.3853681110605844
10500.00000001,-7.546370626243249e-10,2.390318024790315
10505.00000001,-1.428978659822528e-09,2.3951717019633625
10515.00000001,-2.2051770272249466e-09,2.399931893372024
10525.00000001,-1.941610580630398e-09,2.4046012550599394
10530.00000001,-3.588159286136954e-10,2.409182375537565
10540.00000001,-2.20350685501046e-09,2.4136775948535982
10550.00000001,-1.940382148117154e-09,2.4180894015972165
10555.00000001,-1.2492320118826626e-09,2.4224199095208236
10565.00000001,-2.3297004148017556e-09,2.4266715532789056
10575.00000001,-5.755077654038528e-10,2.4308462335017444
10580.00000001,-2.4188901697521935e-09,2.434946028966417
10590.00000001,-9.283429593078277e-10,2.4389730475386076
